run_name,model_size,context_length,mode,dtype,batch_size,tool,trace_file_local_name,stage_range,report,rank,category,name,time_percent,total_time_ns,calls_or_instances,avg_ns,measured_step_seconds,status
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",6.2,64341221,864,74469.0,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_...,6.0,61817969,432,143097.2,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,copy/concat,cudaMemcpyAsync,37.1,766734233,772,993179.1,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,other,cudaLaunchKernel,27.2,562196558,58706,9576.5,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaMalloc,19.3,398662122,708,563082.1,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,other,cudaDeviceSynchronize,12.0,246810558,5,49362111.6,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cudaLaunchKernelExC,1.4,29547705,5418,5453.6,0.38700252398848534,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,1,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",11.5,249812190,864,289134.5,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,2,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::BinaryFunctor[float, float...",9.2,198308485,3480,56985.2,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,3,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_...,8.1,174441999,648,269200.6,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::CUDAFunctor_add[float], st...",8.0,173366384,11970,14483.4,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",5.2,111613378,444,251381.5,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,other,cudaLaunchKernel,41.7,854066621,58724,14543.7,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,copy/concat,cudaMemcpyAsync,29.4,601253520,772,778825.8,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaMalloc,15.0,306770911,386,794743.3,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,other,cudaDeviceSynchronize,9.1,185855617,5,37171123.4,0.41222504526376724,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,Nsight Systems CLI stats,large_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cudaMemsetAsync,1.4,27768907,4368,6357.4,0.41222504526376724,OK
