model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,256,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",313,0.0,0.0,6069.763999999828,6069.763999999828
medium,1,256,fp32,torch.profiler,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,219,6940.962000000014,901.6960000002,5766.561999999947,0.0
medium,1,256,fp32,torch.profiler,torch::autograd::AccumulateGrad,219,6039.265999999814,1152.2949999995035,5766.561999999947,0.0
medium,1,256,fp32,torch.profiler,ampere_sgemm_32x32_sliced1x4_nn,144,0.0,0.0,5758.206000000209,5758.206000000209
medium,1,256,fp32,torch.profiler,aten::add,850,12492.122999999865,7982.944000000092,4804.092000000122,4799.868000000106
medium,1,256,fp32,torch.profiler,aten::sub_,438,4821.281999999861,2757.5319999996573,4165.566999999894,4165.566999999894
medium,1,256,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),73,0.0,0.0,3201.342000000106,3201.342000000106
medium,1,256,fp32,torch.profiler,attention/scores,24,0.0,0.0,2982.3050000000094,2982.3050000000094
medium,1,256,fp32,torch.profiler,aten::pow,366,7480.851000000099,4548.110000000068,2641.770000000304,2565.4800000001505
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",268,0.0,0.0,2514.566000000161,2514.566000000161
medium,1,256,fp32,torch.profiler,autograd::engine::evaluate_function: MulBackward0,338,15594.652999999977,3591.7319999997853,2457.151000000027,0.0
